Step,1:00,#,@,@,,,,,,,,,,,,,,,,,,
#,@,@,on,the,grill,and,#,the,skin,@,@,@,,,,,,,,,,
After,which~,#,@,on,a,closed,container,and,let,it,#,#,@,@,,,,,,,,
After,10,minutes~,#,@,@,#,easily,,,,,,,,,,,,,,,
#,@,@,in,half,and,#,@,@,and,@,#,,,,,,,,,,,
Next~,#,@,@,parts,and,#,@,#,,,,,,,,,,,,,,
Step,2:00,To,make,the,croutons~,#,@,@,into,2-inch,squares,,,,,,,,,,,
#,@,@,over,it,and,#,#,@,and,@,,,,,,,,,,,,
Get,@,@,#,in,the,oven,for,10,minutes~,#,@,#,halfway,,,,,,,,,
Step,3:00,In,a,mixing,bowl~,#,#,å_,cup,of,@,@,@,@,@,@,@,@,@,@,and,@
#,@,@,@,and,@,it,,,,,,,,,,,,,,,,
Step,4:00,#,@,and,#,@,#,the,vegetables,,,,,,,,,,,,,
#,@,#,@,@,@,and,#,,,,,,,,,,,,,,,
----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,In,a,sauce,pan~,#,@,@,in,low,heat,,,,,,,,,,,
In,a,separate,pan~,#,@,@,@,@,@,and,@,,,,,,,,,,,
#,@,in,medium,heat,and,#,#,to,@,of,the,volume,,,,,,,,,,
Then,#,@,@,onto,a,heated,double,boiler,,,,,,,,,,,,,,
#,#,@,@,@,into,the,reduction~,#,@,@,one,by,one,,,,,,,,,
#,@,@,@,@,onto,a,bowl,of,ice,cold,water,,,,,,,,,,,
#,@,@,@,in,a,slow,drizzle,while,#,,,,,,,,,,,,,
Step,2:00,#,@,@,to,200å¡,,,,,,,,,,,,,,,,
#,@,@,in,hot,oil,and,let,it,#,for,@,@,in,low,fire,,,,,,,
#,#,@,@,from,the,oil,and,#,@,on,a,baking,pan,,,,,,,,,
#,@,@,and,#,@,in,the,oven,for,15-Oct,minutes,,,,,,,,,,,
#,@,back,to,the,deep,fryer,and,let,it,#,@,@,,,,,,,,,,
Step,3:00,In,a,shallow,pan~,#,@,@,in,some,oil,,,,,,,,,,,
#,@,@,@,@,@,@,with,salt,and,pepper,and,#,@,in,the,pan,open,side,down,,,
#,@,for,a,quick,minute,and,then,#,@,@,@,,,,,,,,,,,
Step,4:00,#,@,@,with,the,BÌ©arnaise,sauce,and,chips,on,the,side,,,,,,,,,
----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,@,@,@,and,#,@,@,diagonally,crosswise,to,produce,long,and,thin,pieces,,,,,
#,@,@,with,olive,oil,on,both,sides,and,#,@,on,a,baking,pan,,,,,,,
#,@,@,before,#,@,in,the,oven,for,5,minutes,at,200å¡C,,,,,,,,,
Step,2:00,#,@,@,@,@,to,boil~,and,while,waiting~,#,@,@,@,@,@,@,,,,
#,@,@,@,@,into,the,water~,and,then,#,@,@,#,,,,,,,,,
After,one,minute,or,when,the,color,has,brightened~,#,@,@,#,,,,,,,,,,
Then,#,@,@,@,into,the,bowl,of,cold,water,,,,,,,,,,,,
After,a,minute,or,so~,#,@,@,and,gently,#,@,@,out,of,it,,,,,,,
Step,3:00,In,a,pan~,#,@,@,and,@,,,,,,,,,,,,,
#,@,@,and,@,then,#,@,@,and,@,,,,,,,,,,,,
Let,it,#,until,the,port,has,reduced~,after,which,you,#,@,@,,,,,,,,,
#,@,once,more,by,half,,,,,,,,,,,,,,,,,
Step,4:00,#,@,@,and,#,@,@,@,@,into,fine,shreds,,,,,,,,,
#,@,to,the,cream,and,allow,it,to,#,in,@,@,for,five,minutes,,,,,,,
#,@,with,@,and,@,,,,,,,,,,,,,,,,,
Step,5:00,When,serving~,#,@,@,@,@,@,@,and,#,@,on,the,crostini,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,@,@,@,@,on,the,thinly,sliced,celeriac,and,#,@,on,a,colander,,,,,
This,will,allow,the,liquid,from,the,vegetable,root,to,come,out,,,,,,,,,,,
Step,2:00,In,a,bowl~,#,@,@,@,@,@,@,and,@,@,together,,,,,,,
#,@,@,@,and,#,@,in,the,vinegar-olive,oil,mixture,,,,,,,,,,,
While,the,fish,pickles~,#,@,@,,,,,,,,,,,,,,,,
Step,3:00,When,the,grill,is,hot~,#,@,@,and,#,it,@,@,@,,,,,,,
Make,sure,that,you,don‰Ûªt,overcook,the,fish,or,it,will,dry,out,,,,,,,,,,
It,will,#,@,@,@,@,for,each,side,to,cook,,,,,,,,,,,
Step,4:00,In,a,bowl~,#,@,@,@,@,and,@,and,#,@,,,,,,,,
#,@,@,that,has,been,drained,out,its,liquid,and,#,@,in,the,mayonnaise,,,,,,,
Step,5:00,To,plate,the,dish~,#,@,@,leaves,at,the,bottom,of,the,plate,,,,,,,
#,@,@,@,@,@,@,on,top,of,the,vegetables,,,,,,,,,,,
Then,#,@,@,@,on,top,of,it,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,@,@,to,a,boil,and,let,it,#,#,to,@,@,@,@,@,,,,
Let,it,#,,,,,,,,,,,,,,,,,,,,
Step,2:00,Using,a,blender~,#,@,@,@,@,@,@,together,including,the,reduced,stock,,,,,,
Step,3:00,#,@,@,@,with,a,parchment,paper,,,,,,,,,,,,,
#,@,@,@,in~,and,#,@,with,@,,,,,,,,,,,,,
#,@,in,the,oven,for,50,minutes,at,150å¡C,,,,,,,,,,,,,
Step,4:00,#,@,@,@,#,of,its,mold,and,#,,,,,,,,,,,
Step,5:00,For,the,chutney~,#,@,@,@,except,the,pears~,in,a,sauce,pan,,,,,,,
Let,it,#,while,#,constantly~,then,#,#,@,@,to,let,it,reduce,,,,,,,,
When,the,liquid,has,become,syrupy~,#,#,@,@,and,let,it,#,for,another,@,@,in,low,fire,,
Let,it,#,after,,,,,,,,,,,,,,,,,,,
Step,6:00,#,@,@,on,a,platter,with,chutney,on,the,side~,accompanied,by,sliced,French,bread,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,a,pot,of,@,to,a,boil,,,,,,,,,,,,,
#,the,@,@,and,wait,let,it,#,for,5,minutes,or,until,the,rice,noodles,has,softened,,,,
It,still,has,to,be,in,an,aldente,stage,,,,,,,,,,,,,,
#,and,#,it,a,@,@,,,,,,,,,,,,,,,,
#,it,@,,,,,,,,,,,,,,,,,,,,
Step,2:00,#,up,the,@,then,#,around,3-Feb,tablespoons,of,@,@,,,,,,,,,
#,the,@,first,until,it,browns,,,,,,,,,,,,,,,,
#,in,the,@,@,@,@,@,@,@,and,@,@,,,,,,,,,,
#,the,@,@,and,quickly,@,,,,,,,,,,,,,,,,
When,the,veggies,have,softened~,#,them,out,and,#,them,aside,,,,,,,,,,,
Step,3:00,In,the,same,wok~,#,in,the,@,@,@,@,@,and,a,drizzle,of,@,@,,,
#,off,the,@,then,#,the,@,@,and,the,@,and,#,it,in,the,sauce,,,,,
Step,4:00,When,serving~,#,it,with,the,@,@,and,@,with,wedge,of,lime,on,the,side,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,the,@,in,a,mixture,of,the,soy,sauce~,sugar~,pepper,corns,and,sesame,oil,,,,,
Let,it,#,at,least,20,minutes,or,longer,,,,,,,,,,,,,,
#,it,after,and,#,the,@,@,,,,,,,,,,,,,,,
Step,2:00,#,2,tablespoons,of,@,@,and,å_,cup,of,@,and,#,until,the,starch,is,incorporated,,,
Step,3:00,In,a,hot,pan~,#,the,minced,@,@,and,@,@,,,,,,,,,
#,the,@,@,and,the,@,@,next,and,let,them,#,,,,,,,,,,
Step,4:00,#,in,the,shrimps,and,scallions,,,,,,,,,,,,,,,
Let,it,#,for,2,minutes,,,,,,,,,,,,,,,,,
Step,5:00,#,the,@,@,and,@,@,mixture,,,,,,,,,,,,,
#,it,around,and,let,the,sauce,#,,,,,,,,,,,,,,,
Step,6:00,When,serving~,#,some,@,in,the,center,of,the,plate,and,#,it,with,the,@,@,,,
#,it,with,the,minced,@,@,@,and,@,@,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,to,a,boil,2-Jan,cup,of,@,and,@,while,#,constantly,,,,,,,,
When,it,has,thickened~,take,the,walnuts,and,gently,toss,in,the,sweet,sauce,,,,,,,,,
Leave,them,to,#,on,a,tray,lined,with,parchment,paper,,,,,,,,,,,,
Step,2:00,#,the,oil,for,frying,,,,,,,,,,,,,,,,
#,the,coating,ingredients,in,separate,bowls,as,follows:,flour~,@,@,@,,,,,,,,,,
Step,3:00,#,the,@,with,salt,and,pepper,,,,,,,,,,,,,,
#,a,handful,and,#,them,in,the,flour,,,,,,,,,,,,,,
One,by,one~,#,off,the,excess,@,and,then,#,it,in,the,egg,,,,,,,,
Then,#,it,a,last,coating,of,the,@,@,,,,,,,,,,,,,
Step,4:00,#,the,@,carefully,into,the,frying,pan,,,,,,,,,,,,,
#,them,until,they‰Ûªre,golden,brown,,,,,,,,,,,,,,,,,
It,will,only,take,around,2,minutes,to,get,them,cooked,,,,,,,,,,,,
Step,5:00,In,a,salad,bowl~,#,together,in,the,mayonnaise~,milk,and,honey,,,,,,,,,
#,the,fried,@,into,the,sauce,,,,,,,,,,,,,,,,
Step,6:00,#,the,@,while,still,crunchy,,,,,,,,,,,,,,,
#,it,with,the,sugar-coated,@,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,a,pot-full,of,@,,,,,,,,,,,,,,,,
#,1,teaspoon,of,@,,,,,,,,,,,,,,,,,,
Step,2:00,In,a,bowl~,#,@,@,@,and,@,,,,,,,,,,,,
#,it,until,it,is,smooth,,,,,,,,,,,,,,,,,
#,the,@,in,three,batches,,,,,,,,,,,,,,,,,
Keep,#,it,until,you,arrive,on,a,doughy,consistency,,,,,,,,,,,,,
Let,it,dough,#,for,10,minutes,in,a,bowl,covered,with,plastic,film,,,,,,,,,
Step,3:00,#,the,@,into,two,portions,,,,,,,,,,,,,,,
#,your,@,and,#,it,on,top,of,the,boiling,water,,,,,,,,,,,
#,the,first,portion,of,your,@,and,let,the,pieces,#,directly,into,the,boiling,water,,,,,,
Do,this,quickly,to,get,evenly,cooked,spaetzles,,,,,,,,,,,,,,,
Don‰Ûªt,forget,to,#,to,prevent,the,pieces,from,sticking,to,other,pieces,,,,,,,,,,
When,the,spaetzle,is,cooked~,it,will,#,to,the,surface,,,,,,,,,,,,
Then~,it‰Ûªs,time,to,#,them,or,#,them,out,with,a,slotted,spoon,,,,,,,,,
Do,the,same,for,your,second,batch,of,dough,,,,,,,,,,,,,,
Let,the,spaetzle,cool,while,spread,on,a,large,baking,dish,,,,,,,,,,,,
Step,4:00,In,a,large,pan~,#,the,@,and,then,#,the,@,all,in,medium,heat,,,,,
When,the,butter,has,turned,brown~,#,the,@,and,@,with,@,and,@,,,,,,,,
Step,5:00,#,@,in,the,butter,sauce,until,each,piece,is,coated,,,,,,,,,,
----------------------------,,,,,,,,,,,,,,,,,,,,,,
Step,1:00,#,the,@,flat,on,your,chopping,board,,,,,,,,,,,,,
#,it,with,plastic,@,,,,,,,,,,,,,,,,,,
#,away,with,a,meat,@,,,,,,,,,,,,,,,,,
Step,2:00,#,the,@,with,salt~,pepper,and,chilli,peppers,on,each,side,,,,,,,,,
#,the,@,and,@,in,a,bowl,,,,,,,,,,,,,,,
#,the,@,for,frying,,,,,,,,,,,,,,,,,,
Step,3:00,In,different,bowls~,#,the,ingredients,in,this,order:,@,@,&,@,@,@,@,,,,,
#,a,piece,of,@,and,#,it,in,flour,,,,,,,,,,,,,
#,it,in,the,milk,next~,making,sure,it,is,fully,coated,,,,,,,,,,,
Finally~,#,it,to,the,bread,crumbs,plate,and,#,it,well,,,,,,,,,,,
#,the,@,in,the,frying,pan,,,,,,,,,,,,,,,,
#,it,over,after,3,minutes,or,when,the,underside,turns,golden,brown,,,,,,,,,,
Step,4:00,When,all,the,pork,has,been,cooked~,#,the,@,down,to,low,,,,,,,,
#,in,the,flour,and,let,it,become,pasty,,,,,,,,,,,,,,
#,in,the,chicken,broth,and,#,the,@,to,scrape,the,bottom,of,the,pan,while,mixing,,,,,
#,in,the,sour,cream,and,the,@,,,,,,,,,,,,,,,
Let,is,#,for,a,few,minutes,,,,,,,,,,,,,,,,
Step,5:00,#,the,@,topped,with,the,sauce,,,,,,,,,,,,,,
----------------------------,,,,,,,,,,,,,,,,,,,,,,